Código órgão solicitante,Nome órgão solicitante,Nome do órgão superior
39251,Agência Nacional de Transportes Aquaviários,Ministério da Infraestrutura
39252,Departamento Nacional de Infraestrutura de Transportes,Ministério da Infraestrutura
39253,Empresa de Planejamento e Logística S.A.,Ministério da Infraestrutura
40000,Ministério do Trabalho - Unidades com vínculo direto,Ministério do Trabalho
41000,Ministério das Comunicações - Unidades com vínculo direto,Ministério das Comunicações
41231,Agêncial Nacional de Telecomunicações,Ministério das Comunicações
42207,Instituto Brasileiro de Museus,Ministério do Turismo
44000,Ministério do Meio Ambiente - Unidades com vínculo direto,Ministério do Meio Ambiente
44204,Fundo Nacional do Meio Ambiente,Ministério do Meio Ambiente
44205,Agência Nacional de Águas,Ministério do Desenvolvimento Regional
44206,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,Ministério do Meio Ambiente
44207,Instituto Chico Mendes de Conservação da Biodiversidade,Ministério do Meio Ambiente
44208,Serviço Florestal Brasileiro,"Ministério da Agricultura, Pecuária e Abastecimento"
52000,Ministério da Defesa - Unidades com vínculo direto,Ministério da Defesa
52111,Comando da Aeronáutica,Ministério da Defesa
52121,Comando do Exército,Ministério da Defesa
52131,Comando da Marinha,Ministério da Defesa
52211,Caixa de Financiamento Imobiliário da Aeronáutica,Ministério da Defesa
52904,Fundo do Exército,Ministério da Defesa
53000,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional
53202,Superintendência do Desenvolvimento da Amazônia,Ministério do Desenvolvimento Regional
53203,Superintendência do Desenvolvimento do Nordeste,Ministério do Desenvolvimento Regional
53207,Superintendência de Desenvolvimento do Centro-Oeste,Ministério do Desenvolvimento Regional
54000,Ministério do Turismo - Unidades com vínculo direto,Ministério do Turismo
55000,Ministério da Cidadania - Unidades com vínculo direto,Ministério da Cidadania
60000,Gabinete da Vice-Presidência da República,Presidência da República
61201,Instituto de Pesquisa Econômica Aplicada,Ministério da Economia
62201,Agência Nacional de Aviação Civil,Ministério da Infraestrutura
63000,Advocacia-Geral da União - Unidades com vínculo direto,Advocacia-Geral da União
64000,Secretaria de Direitos Humanos,Presidência da República
68201,Agência Nacional de Transportes Aquaviários,Ministério da Infraestrutura
81000,"Ministério da Mulher, Família e Direitos Humanos - Unidades com vínculo direto","Ministério da Mulher, Família e Direitos Humanos"
