ID_Local,País,UF,Cidade,Codigo
1668,Brasil,Rio Grande do Sul,Garibaldi,BrasilRio Grande do SulGaribaldi
1669,Brasil,Santa Catarina,Garopaba,BrasilSanta CatarinaGaropaba
1670,Brasil,Pará,Garrafão do Norte,BrasilParáGarrafão do Norte
1671,Brasil,Rio Grande do Sul,Garruchos,BrasilRio Grande do SulGarruchos
1672,Brasil,Santa Catarina,Garuva,BrasilSanta CatarinaGaruva
1673,Brasil,Santa Catarina,Gaspar,BrasilSanta CatarinaGaspar
1674,Brasil,Mato Grosso,Gaúcha do Norte,BrasilMato GrossoGaúcha do Norte
1675,Brasil,Rio Grande do Sul,Gaurama,BrasilRio Grande do SulGaurama
1676,Brasil,Bahia,Gavião,BrasilBahiaGavião
1677,Brasil,São Paulo,Gavião Peixoto,BrasilSão PauloGavião Peixoto
1678,Brasil,Piauí,Geminiano,BrasilPiauíGeminiano
1679,Brasil,Rio Grande do Sul,General Câmara,BrasilRio Grande do SulGeneral Câmara
1680,Brasil,Paraná,General Carneiro,BrasilParanáGeneral Carneiro
1681,Brasil,Mato Grosso,General Carneiro,BrasilMato GrossoGeneral Carneiro
1682,Brasil,São Paulo,General Salgado,BrasilSão PauloGeneral Salgado
1683,Brasil,Ceará,General Sampaio,BrasilCearáGeneral Sampaio
1684,Brasil,Bahia,Gentio do Ouro,BrasilBahiaGentio do Ouro
1685,Brasil,Rio Grande do Sul,Getúlio Vargas,BrasilRio Grande do SulGetúlio Vargas
1686,Brasil,Piauí,Gilbués,BrasilPiauíGilbués
1687,Brasil,Alagoas,Girau do Ponciano,BrasilAlagoasGirau do Ponciano
1688,Brasil,Rio Grande do Sul,Giruá,BrasilRio Grande do SulGiruá
1689,Brasil,Minas Gerais,Glaucilândia,BrasilMinas GeraisGlaucilândia
1690,Brasil,Bahia,Glória,BrasilBahiaGlória
1691,Brasil,Mato Grosso,"Glória D,Oeste","BrasilMato GrossoGlória D,Oeste"
1692,Brasil,Mato Grosso do Sul,Glória de Dourados,BrasilMato Grosso do SulGlória de Dourados
1693,Brasil,Pernambuco,Glória do Goitá,BrasilPernambucoGlória do Goitá
1694,Brasil,Rio Grande do Sul,Glorinha,BrasilRio Grande do SulGlorinha
1695,Brasil,Maranhão,Godofredo Viana,BrasilMaranhãoGodofredo Viana
1696,Brasil,Minas Gerais,Goiabeira,BrasilMinas GeraisGoiabeira
1697,Brasil,Pernambuco,Goiana,BrasilPernambucoGoiana
1698,Brasil,Minas Gerais,Goianá,BrasilMinas GeraisGoianá
1699,Brasil,Goiás,Goiandira,BrasilGoiásGoiandira
1700,Brasil,Goiás,Goianésia,BrasilGoiásGoianésia
1701,Brasil,Pará,Goianésia do Pará,BrasilParáGoianésia do Pará
1702,Brasil,Goiás,Goiânia,BrasilGoiásGoiânia
1703,Brasil,Rio Grande do Norte,Goianinha,BrasilRio Grande do NorteGoianinha
1704,Brasil,Goiás,Goianira,BrasilGoiásGoianira
1705,Brasil,Tocantins,Goianorte,BrasilTocantinsGoianorte
1706,Brasil,Goiás,Goiás,BrasilGoiásGoiás
1707,Brasil,Tocantins,Goiatins,BrasilTocantinsGoiatins
1708,Brasil,Goiás,Goiatuba,BrasilGoiásGoiatuba
1709,Brasil,Paraná,Goio-Erê,BrasilParanáGoio-Erê
1710,Brasil,Paraná,Goioxim,BrasilParanáGoioxim
1711,Brasil,Minas Gerais,Gonçalves,BrasilMinas GeraisGonçalves
1712,Brasil,Maranhão,Governador Archer,BrasilMaranhãoGovernador Archer
1713,Brasil,Santa Catarina,Governador Celso Ramos,BrasilSanta CatarinaGovernador Celso Ramos
1714,Brasil,Rio Grande do Norte,Governador Dix-Sept Rosado,BrasilRio Grande do NorteGovernador Dix-Sept Rosado
1715,Brasil,Maranhão,Governador Edison Lobão,BrasilMaranhãoGovernador Edison Lobão
1716,Brasil,Maranhão,Governador Eugênio Barros,BrasilMaranhãoGovernador Eugênio Barros
1717,Brasil,Rondônia,Governador Jorge Teixeira,BrasilRondôniaGovernador Jorge Teixeira
1718,Brasil,Espírito Santo,Governador Lindemberg,BrasilEspírito SantoGovernador Lindemberg
1719,Brasil,Maranhão,Governador Luiz Rocha,BrasilMaranhãoGovernador Luiz Rocha
1720,Brasil,Bahia,Governador Mangabeira,BrasilBahiaGovernador Mangabeira
1721,Brasil,Maranhão,Governador Newton Belo,BrasilMaranhãoGovernador Newton Belo
1722,Brasil,Maranhão,Governador Nunes Freire,BrasilMaranhãoGovernador Nunes Freire
1723,Brasil,Minas Gerais,Governador Valadares,BrasilMinas GeraisGovernador Valadares
1724,Brasil,Ceará,Graça,BrasilCearáGraça
1725,Brasil,Sergipe,Gracho Cardoso,BrasilSergipeGracho Cardoso
1726,Brasil,Maranhão,Grajaú,BrasilMaranhãoGrajaú
1727,Brasil,Rio Grande do Sul,Gramado,BrasilRio Grande do SulGramado
1728,Brasil,Rio Grande do Sul,Gramado Xavier,BrasilRio Grande do SulGramado Xavier
1729,Brasil,Paraná,Grandes Rios,BrasilParanáGrandes Rios
1730,Brasil,Pernambuco,Granito,BrasilPernambucoGranito
1731,Brasil,Ceará,Granja,BrasilCearáGranja
1732,Brasil,Ceará,Granjeiro,BrasilCearáGranjeiro
1733,Brasil,Minas Gerais,Grão Mogol,BrasilMinas GeraisGrão Mogol
1734,Brasil,Santa Catarina,Grão Pará,BrasilSanta CatarinaGrão Pará
1735,Brasil,Pernambuco,Gravatá,BrasilPernambucoGravatá
1736,Brasil,Rio Grande do Sul,Gravataí,BrasilRio Grande do SulGravataí
1737,Brasil,Ceará,Groaíras,BrasilCearáGroaíras
1738,Brasil,Rio Grande do Norte,Grossos,BrasilRio Grande do NorteGrossos
1739,Brasil,Rio Grande do Sul,Guabiju,BrasilRio Grande do SulGuabiju
1740,Brasil,Santa Catarina,Guabiruba,BrasilSanta CatarinaGuabiruba
1741,Brasil,Espírito Santo,Guaçuí,BrasilEspírito SantoGuaçuí
1742,Brasil,Piauí,Guadalupe,BrasilPiauíGuadalupe
1743,Brasil,Rio Grande do Sul,Guaíba,BrasilRio Grande do SulGuaíba
1744,Brasil,São Paulo,Guaiçara,BrasilSão PauloGuaiçara
1745,Brasil,Paraná,Guaíra,BrasilParanáGuaíra
1746,Brasil,São Paulo,Guaíra,BrasilSão PauloGuaíra
1747,Brasil,Paraná,Guairaçá,BrasilParanáGuairaçá
1748,Brasil,Amazonas,Guajará,BrasilAmazonasGuajará
1749,Brasil,Rondônia,Guajará-Mirim,BrasilRondôniaGuajará-Mirim
1750,Brasil,Bahia,Guajeru,BrasilBahiaGuajeru
1751,Brasil,Rio Grande do Norte,Guamaré,BrasilRio Grande do NorteGuamaré
1752,Brasil,Paraná,Guamiranga,BrasilParanáGuamiranga
1753,Brasil,Bahia,Guanambi,BrasilBahiaGuanambi
1754,Brasil,Minas Gerais,Guanhães,BrasilMinas GeraisGuanhães
1755,Brasil,São Paulo,Guapiaçu,BrasilSão PauloGuapiaçu
1756,Brasil,São Paulo,Guapiara,BrasilSão PauloGuapiara
1757,Brasil,Rio de Janeiro,Guapimirim,BrasilRio de JaneiroGuapimirim
1758,Brasil,Goiás,Guapó,BrasilGoiásGuapó
1759,Brasil,Rio Grande do Sul,Guaporé,BrasilRio Grande do SulGuaporé
1760,Brasil,Paraíba,Guarabira,BrasilParaíbaGuarabira
1761,Brasil,São Paulo,Guaraçaí,BrasilSão PauloGuaraçaí
1762,Brasil,São Paulo,Guaraci,BrasilSão PauloGuaraci
1763,Brasil,Santa Catarina,Guaraciaba,BrasilSanta CatarinaGuaraciaba
1764,Brasil,Ceará,Guaraciaba do Norte,BrasilCearáGuaraciaba do Norte
1765,Brasil,Tocantins,Guaraí,BrasilTocantinsGuaraí
1766,Brasil,Goiás,Guaraíta,BrasilGoiásGuaraíta
1767,Brasil,Ceará,Guaramiranga,BrasilCearáGuaramiranga
1768,Brasil,Santa Catarina,Guaramirim,BrasilSanta CatarinaGuaramirim
1769,Brasil,Minas Gerais,Guaranésia,BrasilMinas GeraisGuaranésia
1770,Brasil,Minas Gerais,Guarani,BrasilMinas GeraisGuarani
1771,Brasil,São Paulo,"Guarani D,Oeste","BrasilSão PauloGuarani D,Oeste"
1772,Brasil,Rio Grande do Sul,Guarani das Missões,BrasilRio Grande do SulGuarani das Missões
1773,Brasil,Paraná,Guaraniaçú,BrasilParanáGuaraniaçú
1774,Brasil,São Paulo,Guarantã,BrasilSão PauloGuarantã
1775,Brasil,Mato Grosso,Guarantã do Norte,BrasilMato GrossoGuarantã do Norte
1776,Brasil,Espírito Santo,Guarapari,BrasilEspírito SantoGuarapari
1777,Brasil,Paraná,Guarapuava,BrasilParanáGuarapuava
1778,Brasil,Paraná,Guaraqueçaba,BrasilParanáGuaraqueçaba
1779,Brasil,Minas Gerais,Guarará,BrasilMinas GeraisGuarará
1780,Brasil,São Paulo,Guararapes,BrasilSão PauloGuararapes
1781,Brasil,São Paulo,Guararema,BrasilSão PauloGuararema
1782,Brasil,Bahia,Guaratinga,BrasilBahiaGuaratinga
1783,Brasil,São Paulo,Guaratinguetá,BrasilSão PauloGuaratinguetá
1784,Brasil,Paraná,Guaratuba,BrasilParanáGuaratuba
1785,Brasil,Minas Gerais,Guarda-Mor,BrasilMinas GeraisGuarda-Mor
1786,Brasil,São Paulo,Guareí,BrasilSão PauloGuareí
1787,Brasil,São Paulo,Guariba,BrasilSão PauloGuariba
1788,Brasil,Piauí,Guaribas,BrasilPiauíGuaribas
1789,Brasil,Goiás,Guarinos,BrasilGoiásGuarinos
1790,Brasil,São Paulo,Guarujá,BrasilSão PauloGuarujá
1791,Brasil,Santa Catarina,Guarujá do Sul,BrasilSanta CatarinaGuarujá do Sul
1792,Brasil,São Paulo,Guarulhos,BrasilSão PauloGuarulhos
1793,Brasil,Santa Catarina,Guatambú,BrasilSanta CatarinaGuatambú
1794,Brasil,São Paulo,Guatapará,BrasilSão PauloGuatapará
1795,Brasil,Minas Gerais,Guaxupé,BrasilMinas GeraisGuaxupé
1796,Brasil,Mato Grosso do Sul,Guia Lopes da Laguna,BrasilMato Grosso do SulGuia Lopes da Laguna
